AnnotSV ID	SV chrom	SV start	SV end	SV length										AnnotSV type	Gene name	tx	CDS length	frameshift	tx length	location	location2	distNearestSS	nearestSStype	intersectStart	intersectEnd	DGV_GAIN_IDs	DGV_GAIN_n_samples_with_SV	DGV_GAIN_n_samples_tested	DGV_GAIN_Frequency	DGV_LOSS_IDs	DGV_LOSS_n_samples_with_SV	DGV_LOSS_n_samples_tested	DGV_LOSS_Frequency	GD_ID	GD_AN	GD_N_HET	GD_N_HOMALT	GD_AF	GD_POPMAX_AF	GD_ID_others	1000g_event	IMH_ID	IMH_AF	IMH_ID_others	promoters	dbVar_event	dbVar_variant	dbVar_status	TADcoordinates	ENCODEexperiments	GCcontent_left	GCcontent_right	Repeats_coord_left	Repeats_type_left	Repeats_coord_right	Repeats_type_right	Gap_left	Gap_right	SegDup_left	SegDup_right	ENCODE_blacklist_left	ENCODE_blacklist_characteristics_left	ENCODE_blacklist_right	ENCODE_blacklist_characteristics_right	ACMG	HI_CGscore	TriS_CGscore	DDD_status	DDD_mode	DDD_consequence	DDD_disease	DDD_pmids	HI_DDDpercent	delZ_ExAC	dupZ_ExAC	cnvZ_ExAC	synZ_ExAC	misZ_ExAC	pLI_ExAC	Mim Number	Phenotypes	Inheritance	morbidGenes	morbidGenesCandidates
1_144900000_145000000__1	1	144900000	145000000		1450	0	Des	chr1	144900000	145000000	1450	0	Des	full	SRGAP2-AS1/SRGAP2B											gssvG1804	17	12462	0.00136415	gssvL5068	8	20765	0.00038526					-1	-1		<CN2>/<CN3>		-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:144546309-146386950_INV;1:144546470-146387406_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv13654326;nssv1415280;nssv1415305;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15132861;nssv15133379;nssv15133691;nssv15134146;nssv15134214;nssv15134215;nssv15135169;nssv15135240;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15141189;nssv15149867;nssv15151118;nssv15153305;nssv15153306;nssv15153307;nssv15153309;nssv15156967;nssv15156970;nssv15157514;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1610695;nssv1610742;nssv1611053;nssv1611070;nssv1611222;nssv1611477;nssv1611558;nssv1611625;nssv1611759;nssv1611841;nssv1611845;nssv1611862;nssv1611954;nssv1612087;nssv1612189;nssv1612258;nssv1612403;nssv1612529;nssv1612536;nssv1612653;nssv1612753;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583282;nssv583802;nssv584352;nssv584353;nssv585229;nssv585249;nssv706257;nssv706411;nssv706859;nssv7472674	Likely pathogenic;Pathogenic			0.460	0.360	1:144900063-144900140	L2c	1:144999847-144999980	L1MB8			1:144825166-144915702/1:144884087-145129140/1:144888776-145129140	1:144884087-145129140/1:144888776-145129140																								
1_144900000_145000000__1	1	144900000	145000000		1450	0	Des	chr1	144900000	145000000	1450	0	Des	split	SRGAP2-AS1	NR_104189	0	no	19902	intron2-txEnd	UTR	17169	3'	144900000	144919902		0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144546309-146386950_INV;1:144546470-146387406_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv13654326;nssv1415280;nssv1415305;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15132861;nssv15133379;nssv15133691;nssv15134146;nssv15134214;nssv15134215;nssv15135169;nssv15135240;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15141189;nssv15149867;nssv15151118;nssv15153305;nssv15153306;nssv15153307;nssv15153309;nssv15156967;nssv15156970;nssv15157514;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1610695;nssv1610742;nssv1611053;nssv1611070;nssv1611222;nssv1611477;nssv1611558;nssv1611625;nssv1611759;nssv1611841;nssv1611845;nssv1611862;nssv1611954;nssv1612087;nssv1612189;nssv1612258;nssv1612403;nssv1612529;nssv1612536;nssv1612653;nssv1612753;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583282;nssv583802;nssv584352;nssv584353;nssv585229;nssv585249;nssv706257;nssv706411;nssv706859;nssv7472674	Likely pathogenic;Pathogenic																																				
1_144900000_145000000__1	1	144900000	145000000		1450	0	Des	chr1	144900000	145000000	1450	0	Des	split	SRGAP2B	NM_001385226	854	yes	100000	intron2-intron8	CDS	2660	3'	144900000	145000000	gssvG1804	17	12462	0.00136415	gssvL5068	8	20765	0.00038526					-1	-1		<CN2>/<CN3>		-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:144546309-146386950_INV;1:144546470-146387406_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv13654326;nssv1415280;nssv1415305;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15132861;nssv15133379;nssv15133691;nssv15134146;nssv15134214;nssv15134215;nssv15135169;nssv15135240;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15141189;nssv15149867;nssv15151118;nssv15153305;nssv15153306;nssv15153307;nssv15153309;nssv15156967;nssv15156970;nssv15157514;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1610695;nssv1610742;nssv1611053;nssv1611070;nssv1611222;nssv1611477;nssv1611558;nssv1611625;nssv1611759;nssv1611841;nssv1611845;nssv1611862;nssv1611954;nssv1612087;nssv1612189;nssv1612258;nssv1612403;nssv1612529;nssv1612536;nssv1612653;nssv1612753;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583282;nssv583802;nssv584352;nssv584353;nssv585229;nssv585249;nssv706257;nssv706411;nssv706859;nssv7472674	Likely pathogenic;Pathogenic																																				
1_154000000_154100000__1	1	154000000	154100000		1541	0	Des	chr1	154000000	154100000	1541	0	Des	full	NUP210L												0	0	-1		0	0	-1					-1	-1				-1	1:153891253-154169987_DUP;1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV		copy_number_gain;copy_number_loss	nssv13641209;nssv13644157;nssv13652057;nssv13653606;nssv13654197;nssv15119939;nssv15126845;nssv15127572;nssv15129680;nssv15148250;nssv15149867;nssv15150899;nssv15151118;nssv15154051;nssv15156967;nssv15156970;nssv15605946;nssv3397176;nssv577222	Likely pathogenic;Pathogenic			0.530	0.415	1:153999820-153999996/1:154000000-154000130	AluJo/AluJb																			45.23	-2.10402895275176	-0.69984548368049	-1.05790184224178	-0.281434281231353	1.79016899731314	0.892027568242089					
1_154000000_154100000__1	1	154000000	154100000		1541	0	Des	chr1	154000000	154100000	1541	0	Des	split	NUP210L	NM_207308	3424	yes	100000	exon14-intron37	CDS	3	5'	154000000	154100000		0	0	-1		0	0	-1					-1	-1				-1	1:153891253-154169987_DUP;1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV		copy_number_gain;copy_number_loss	nssv13641209;nssv13644157;nssv13652057;nssv13653606;nssv13654197;nssv15119939;nssv15126845;nssv15127572;nssv15129680;nssv15148250;nssv15149867;nssv15150899;nssv15151118;nssv15154051;nssv15156967;nssv15156970;nssv15605946;nssv3397176;nssv577222	Likely pathogenic;Pathogenic																									45.23	-2.10402895275176	-0.69984548368049	-1.05790184224178	-0.281434281231353	1.79016899731314	0.892027568242089					
1_171500000_171600000__1	1	171500000	171600000		1716	0	Des	chr1	171500000	171600000	1716	0	Des	full	PRRC2C												0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_40			-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV		copy_number_gain;copy_number_loss;deletion	nssv13641209;nssv13641271;nssv13644157;nssv13648427;nssv13653606;nssv13654197;nssv15121990;nssv15127572;nssv15129680;nssv15131775;nssv15132991;nssv15133506;nssv15133508;nssv15133873;nssv15135159;nssv15138384;nssv15139254;nssv15139640;nssv15141825;nssv15148250;nssv15148505;nssv15149867;nssv15151118;nssv15156891;nssv15156967;nssv15156970;nssv15175346;nssv15606051;nssv15606086;nssv1610454;nssv3395509;nssv3397176;nssv3397436;nssv577229;nssv577232;nssv577233;nssv578535;nssv578537;nssv583147;nssv584355	Pathogenic	1:171510862-172670860;1:171510862-174230862;1:171510862-175070864;1:171550862-172670860;1:171550862-172710860;1:171550862-174270862;1:171550862-175070864	ENCFF176FDF:ENCFF183RCR:ENCFF311BGF:ENCFF654ZID:ENCFF796ORT:ENCFF897UNV	0.295	0.565			1:171599881-171600179	AluSp																	38.23	1.03456708594432	1.37138076384206	1.54321169830715	-1.75015443162024	0.724975731428049	0.999999999399789					
1_171500000_171600000__1	1	171500000	171600000		1716	0	Des	chr1	171500000	171600000	1716	0	Des	split	PRRC2C	NM_015172	8454	no	93511	intron1-txEnd	5'UTR-3'UTR	12031	3'	171500000	171593511		0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_40			-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV		copy_number_gain;copy_number_loss;deletion	nssv13641209;nssv13641271;nssv13644157;nssv13648427;nssv13653606;nssv13654197;nssv15121990;nssv15127572;nssv15129680;nssv15131775;nssv15132991;nssv15133506;nssv15133508;nssv15133873;nssv15135159;nssv15138384;nssv15139254;nssv15139640;nssv15141825;nssv15148250;nssv15148505;nssv15149867;nssv15151118;nssv15156891;nssv15156967;nssv15156970;nssv15175346;nssv15606051;nssv15606086;nssv1610454;nssv3395509;nssv3397176;nssv3397436;nssv577229;nssv577232;nssv577233;nssv578535;nssv578537;nssv583147;nssv584355	Pathogenic																									38.23	1.03456708594432	1.37138076384206	1.54321169830715	-1.75015443162024	0.724975731428049	0.999999999399789					
11_55600000_55700000__1	11	55600000	55700000		557	0	Des	chr11	55600000	55700000	557	0	Des	full	OR4C11/OR4C6/OR4P4/OR4S2											gssvG6670,gssvG6668,gssvG6678	692	24072	0.02874709	gssvL18991,gssvL19000,gssvL19002,gssvL19010	4003	29293	0.13665381					-1	-1	gnomAD_v2_DEL_11_139977			-1	11:54936154-56244206_DUP;11:55218566-55780615_DUP;11:55539524-55765004_DEL;11:55546408-55782107_DEL;11:1621469-71538182_INV;11:1621660-71538522_INV;11:49193341-89651496_INV;11:49211576-89635120_INV;11:49243026-89597882_INV;11:49358810-89347590_INV;11:49403037-89297530_INV;11:49558642-89065591_INV;11:49586832-89037283_INV;11:49629781-88995227_INV;11:49736708-88892563_INV;11:50376841-55797838_INV;11:55286355-55863192_INV	OR4C11/OR4C6/OR4P4/OR4S2	copy_number_gain	nssv13653453;nssv13654710;nssv15137877;nssv15150306;nssv15150623;nssv15158476;nssv15171978;nssv582454	Pathogenic	11:55632525-56832524;11:55632525-57472527	ENCFF067UVH:ENCFF461GOG	0.360	0.430	11:55599865-55600038/11:55600051-55600352	L1M3b/L1MC1	11:55699658-55700595	L1PA3																	90.42	-2.62354415217069	-2.53125239294469	-2.47162789907313	1.16499985736465	-0.934905219791124	0.0552397546101415					
11_55600000_55700000__1	11	55600000	55700000		557	0	Des	chr11	55600000	55700000	557	0	Des	split	OR4C11	NM_001004700	933	no	1045	txStart-txEnd	5'UTR-3'UTR			55603353	55604398	gssvG6659,gssvG6670,gssvG6668,gssvG6681	657	24072	0.02729312	gssvL18996,gssvL18991,gssvL19011,gssvL19000,gssvL19002,gssvL19027,gssvL19018	4192	26927	0.15568017					-1	-1	gnomAD_v2_DEL_11_139977	<CN0>/<CN2>		-1	11:54936154-56244206_DUP;11:55218566-55780615_DUP;11:55539524-55765004_DEL;11:55546408-55782107_DEL;11:55560668-55624835_DEL;11:55587448-55617816_DEL;11:1621469-71538182_INV;11:1621660-71538522_INV;11:49193341-89651496_INV;11:49211576-89635120_INV;11:49243026-89597882_INV;11:49358810-89347590_INV;11:49403037-89297530_INV;11:49558642-89065591_INV;11:49586832-89037283_INV;11:49629781-88995227_INV;11:49736708-88892563_INV;11:50376841-55797838_INV;11:55286355-55863192_INV		copy_number_gain	nssv13653453;nssv13654710;nssv15137877;nssv15150306;nssv15150623;nssv15158476;nssv15171978;nssv582454	Pathogenic																									87.48				-1.12753080087936	-3.29256231055554	1.18368733183156e-06					
11_55600000_55700000__1	11	55600000	55700000		557	0	Des	chr11	55600000	55700000	557	0	Des	split	OR4C6	NM_001004704	930	no	930	txStart-txEnd	5'UTR-3'UTR			55665166	55666096	gssvG6670,gssvG6668,gssvG6684,gssvG6678,gssvG6690	704	24072	0.02924560	gssvL18991,gssvL19000,gssvL19002,gssvL19010,gssvL19023,gssvL19014,gssvL19024	4156	30059	0.13826142					-1	-1	gnomAD_v2_DEL_11_139977;gnomAD_v2_DEL_11_139984			-1	11:54936154-56244206_DUP;11:55218566-55780615_DUP;11:55539524-55765004_DEL;11:55546408-55782107_DEL;11:1621469-71538182_INV;11:1621660-71538522_INV;11:49193341-89651496_INV;11:49211576-89635120_INV;11:49243026-89597882_INV;11:49358810-89347590_INV;11:49403037-89297530_INV;11:49558642-89065591_INV;11:49586832-89037283_INV;11:49629781-88995227_INV;11:49736708-88892563_INV;11:50376841-55797838_INV;11:55286355-55863192_INV		copy_number_gain	nssv13653453;nssv13654710;nssv15137877;nssv15150306;nssv15150623;nssv15158476;nssv15171978;nssv582454	Pathogenic																									90.42	-2.62354415217069	-2.53125239294469	-2.47162789907313	-1.99765177990459	-3.80719245795674	9.43862842037176e-06					
11_55600000_55700000__1	11	55600000	55700000		557	0	Des	chr11	55600000	55700000	557	0	Des	split	OR4P4	NM_001004124	939	no	939	txStart-txEnd	5'UTR-3'UTR			55638357	55639296	gssvG6670,gssvG6668,gssvG6681,gssvG6684,gssvG6678	765	24072	0.03177966	gssvL18991,gssvL19011,gssvL19000,gssvL19002,gssvL19013,gssvL19010,gssvL19035,gssvL19023	4436	29293	0.15143550					-1	-1	gnomAD_v2_DEL_11_139977	<CN0>/<CN2>		-1	11:54936154-56244206_DUP;11:55218566-55780615_DUP;11:55539524-55765004_DEL;11:55546408-55782107_DEL;11:1621469-71538182_INV;11:1621660-71538522_INV;11:49193341-89651496_INV;11:49211576-89635120_INV;11:49243026-89597882_INV;11:49358810-89347590_INV;11:49403037-89297530_INV;11:49558642-89065591_INV;11:49586832-89037283_INV;11:49629781-88995227_INV;11:49736708-88892563_INV;11:50376841-55797838_INV;11:55286355-55863192_INV		copy_number_gain	nssv13653453;nssv13654710;nssv15137877;nssv15150306;nssv15150623;nssv15158476;nssv15171978;nssv582454	Pathogenic																									87.96				-0.206225858229991	-1.3040166690363	0.0552397546101415					
11_55600000_55700000__1	11	55600000	55700000		557	0	Des	chr11	55600000	55700000	557	0	Des	split	OR4S2	NM_001004059	936	no	936	txStart-txEnd	5'UTR-3'UTR			55650903	55651839	gssvG6670,gssvG6668,gssvG6681,gssvG6684,gssvG6678,gssvG6690	769	24072	0.03194583	gssvL18991,gssvL19011,gssvL19000,gssvL19002,gssvL19013,gssvL19010,gssvL19035,gssvL19023,gssvL19014	4554	29293	0.15546376					-1	-1	gnomAD_v2_DEL_11_139977	<CN0>/<CN2>		-1	11:54936154-56244206_DUP;11:55218566-55780615_DUP;11:55539524-55765004_DEL;11:55546408-55782107_DEL;11:1621469-71538182_INV;11:1621660-71538522_INV;11:49193341-89651496_INV;11:49211576-89635120_INV;11:49243026-89597882_INV;11:49358810-89347590_INV;11:49403037-89297530_INV;11:49558642-89065591_INV;11:49586832-89037283_INV;11:49629781-88995227_INV;11:49736708-88892563_INV;11:50376841-55797838_INV;11:55286355-55863192_INV		copy_number_gain	nssv13653453;nssv13654710;nssv15137877;nssv15150306;nssv15150623;nssv15158476;nssv15171978;nssv582454	Pathogenic																									79.58				1.16499985736465	-0.934905219791124	0.00757382249815486					
12_33200000_33300000__1	12	33200000	33300000		333	0	Des	chr12	33200000	33300000	333	0	Des	full												gssvG7650	26	21567	0.00120555	gssvL24211	2	11287	0.00017720					-1	-1	gnomAD_v2_DUP_12_35084;gnomAD_v2_DUP_12_35086;gnomAD_v2_INV_12_568			-1	12:33133662-33540912_DUP;12:11348553-95637272_INV;12:18095388-39812443_INV;12:26775933-42852083_INV;12:29091033-40539352_INV;12:30757997-51226316_INV;12:33114816-33535754_INV;12:33144982-34074054_INV		copy_number_gain;copy_number_loss	nssv13638523;nssv13639183;nssv13639327;nssv13640870;nssv13642965;nssv13647999;nssv13649527;nssv13656028;nssv14082255;nssv15129039;nssv15131918;nssv15145922;nssv15146010;nssv15146481;nssv15146543;nssv15146700;nssv15147501;nssv15147863;nssv15149123;nssv15149133;nssv15149781;nssv15150128;nssv15150645;nssv15150719;nssv15150741;nssv15152338;nssv15154626;nssv15155403;nssv15161414;nssv15161422;nssv15161620;nssv15161798;nssv15171852;nssv15171855;nssv15772258;nssv1602927;nssv1603959;nssv1604668;nssv3395201;nssv576871;nssv578612;nssv578613;nssv578619;nssv582513;nssv583561;nssv8639990	Likely pathogenic;Pathogenic			0.440	0.360	12:33199823-33200059/12:33200059-33201022	LTR12_/L1PA3	12:33299490-33300449	L1M1																												
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	full	LINC01193/MIR5701-1/MIR5701-2/MIR5701-3/NF1P2											gssvG12245,gssvG12255	24	12433	0.00193035	gssvL37850,gssvL37844,gssvL37865	50	20774	0.00240685					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV	LINC01193/MIR5701-1/MIR5701-2/MIR5701-3/NF1P2	copy_number_gain;copy_number_loss;deletion;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15123304;nssv15123310;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic			0.245	0.340	15:20899820-20899905/15:20900026-20900328	L1ME1/AluJr	15:21000006-21000092/15:21000098-21000971	MER89-int/MER49			15:20828116-20994234/15:20828116-20999973/15:20828116-20999973	15:20828116-20999973/15:20828116-20999973/15:20995680-20999973/15:20995698-20999973/15:20995698-20999973/15:20995698-20999973/15:20995698-20999973/15:20999983-21008279/15:20999983-21111983	15:20005600-22606300	High Signal Region	15:20005600-22606300	High Signal Region																				
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	split	LINC01193	NR_040094	0	no	52867	txStart-txEnd	UTR			20940437	20993304	gssvG12245,gssvG12255,gssvG12275	27	12433	0.00217164	gssvL37850,gssvL37844,gssvL37865	50	20774	0.00240685					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15123304;nssv15123310;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic																																				
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	split	MIR5701-1	NR_049886	0	no	82	txStart-txEnd	UTR			20940251	20940333	gssvG12245,gssvG12270,gssvG12255,gssvG12275,gssvG12359	468	14739	0.03175249	gssvL37850,gssvL37844,gssvL37865	50	20774	0.00240685					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15123304;nssv15123310;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic																																				
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	split	MIR5701-2	NR_049895	0	no	82	txStart-txEnd	UTR			20940251	20940333	gssvG12245,gssvG12270,gssvG12255,gssvG12275,gssvG12359	468	14739	0.03175249	gssvL37850,gssvL37844,gssvL37865	50	20774	0.00240685					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15123304;nssv15123310;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic																																				
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	split	MIR5701-3	NR_128721	0	no	82	txStart-txEnd	UTR			20940251	20940333	gssvG12245,gssvG12270,gssvG12255,gssvG12275,gssvG12359	468	14739	0.03175249	gssvL37850,gssvL37844,gssvL37865	50	20774	0.00240685					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15123304;nssv15123310;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic																																				
15_20900000_21000000__1	15	20900000	21000000		210	0	Des	chr15	20900000	21000000	210	0	Des	split	NF1P2	NR_028506	0	no	12605	txStart-txEnd	UTR			20916691	20929296	gssvG12245,gssvG12270	13	69	0.18840580	gssvL37850	5	80	0.06250000					-1	-1				-1	15:20189766-21193187_DUP;15:20301348-21151661_INV		copy_number_gain;copy_number_loss;duplication	nssv13625947;nssv13641294;nssv13642796;nssv13644233;nssv13644289;nssv13645364;nssv13646205;nssv13648973;nssv13649969;nssv13653044;nssv13653363;nssv13653621;nssv13655775;nssv15124656;nssv15125410;nssv15126021;nssv15126524;nssv15127462;nssv15127659;nssv15127689;nssv15145742;nssv15145744;nssv15145747;nssv15146452;nssv15146958;nssv15147052;nssv15147053;nssv15147058;nssv15147355;nssv15147687;nssv15147801;nssv15148575;nssv15148785;nssv15148902;nssv15149081;nssv15149084;nssv15149124;nssv15149135;nssv15149616;nssv15150569;nssv15172190;nssv15172447;nssv15175556;nssv15605894;nssv15605895;nssv15605896;nssv15774514;nssv1609985;nssv576960;nssv578677;nssv578678;nssv578679;nssv578680;nssv578682;nssv578683;nssv578684;nssv582356	Pathogenic																																				
